id,Слово,Перевод,Тип,Курс,Урок
1,ad (isim),"имя, наименование",İSİMLER,A1,UNITE1
2,ağaç,дерево,İSİMLER,A1,UNITE1
3,alkol,алкоголь,İSİMLER,A1,UNITE1
4,Almanya,Германия,İSİMLER,A1,UNITE1
5,anneler günü,день матери,İSİMLER,A1,UNITE1
6,araba,"автомобиль, машина",İSİMLER,A1,UNITE1
7,arkadaş,"друг, подруга, приятель",İSİMLER,A1,UNITE1
8,avukat,адвокат,İSİMLER,A1,UNITE1
9,Avusturya,Австрия,İSİMLER,A1,UNITE1
10,az,"мало, немного",İSİMLER,A1,UNITE1
11,baba,"отец, папа",İSİMLER,A1,UNITE1
12,bahçe,сад,İSİMLER,A1,UNITE1
13,balık,рыба,İSİMLER,A1,UNITE1
14,banka,банк,İSİMLER,A1,UNITE1
15,bardak,стакан,İSİMLER,A1,UNITE1
16,bay,господин,İSİMLER,A1,UNITE1
17,bayan,госпожа,İSİMLER,A1,UNITE1
18,bayram,праздник,İSİMLER,A1,UNITE1
19,bebek,"малыш, ребенок, младенец",İSİMLER,A1,UNITE1
20,bey,господин,İSİMLER,A1,UNITE1
21,bilet,билет,İSİMLER,A1,UNITE1
22,bilgisayar,компьютер,İSİMLER,A1,UNITE1
23,bulaşık,посуда,İSİMLER,A1,UNITE1
24,büro,"офис, бюро",İSİMLER,A1,UNITE1
25,büyük,"большой, крупный",İSİMLER,A1,UNITE1
26,cami,мечеть,İSİMLER,A1,UNITE1
27,cetvel,"линейка, правило, шкала, сетка",İSİMLER,A1,UNITE1
28,ceviz,грецкий орех,İSİMLER,A1,UNITE1
29,çamaşır,белье,İSİMLER,A1,UNITE1
30,çanta,сумка,İSİMLER,A1,UNITE1
31,çarşı,"базар, рынок",İSİMLER,A1,UNITE1
32,çay,чай,İSİMLER,A1,UNITE1
33,çiçek,цветок,İSİMLER,A1,UNITE1
34,Çin,Китай,İSİMLER,A1,UNITE1
35,çocuk,"ребенок, дитя",İSİMLER,A1,UNITE1
36,çok,много,İSİMLER,A1,UNITE1
37,defter,тетрадь,İSİMLER,A1,UNITE1
38,deniz,море,İSİMLER,A1,UNITE1
39,ders,урок,İSİMLER,A1,UNITE1
40,doğum günü,день рождения,İSİMLER,A1,UNITE1
41,doktor,"врач, доктор",İSİMLER,A1,UNITE1
42,dolap,шкаф,İSİMLER,A1,UNITE1
43,düğün,свадьба,İSİMLER,A1,UNITE1
44,eczane,аптека,İSİMLER,A1,UNITE1
45,ekmek,хлеб,İSİMLER,A1,UNITE1
46,elbise,платье,İSİMLER,A1,UNITE1
47,elma,яблоко,İSİMLER,A1,UNITE1
48,erkek,"мужчина, мужской",İSİMLER,A1,UNITE1
49,ev,дом,İSİMLER,A1,UNITE1
50,fare,мышь,İSİMLER,A1,UNITE1
