id,word_id,example,translate
1,1,"Hola, ¿cómo estás?","Привет, как дела?"
2,2,"Buenos días, señora Pérez.","Доброе утро, señora Pérez."
3,3,"Buenas tardes, amigos.","Добрый день, друзья."
4,4,"Buenas noches, que descanses.","Добрый вечер, отдыхай."
5,5,"Adiós, hasta mañana.","До свидания, до завтра."
6,6,"Hasta luego, nos vemos pronto.","До скорого, увидимся скоро."
7,7,"¿Me ayudas, por favor?","Поможешь мне, пожалуйста?"
8,8,Gracias por tu ayuda.,Спасибо за твою помощь.
9,9,—Gracias. —De nada.,—Спасибо. —Не за что.
10,10,"Perdón, no te vi.","Простите, я вас не увидел."
11,11,"Lo siento, no puedo ir.","Мне жаль, я не могу пойти."
12,12,"Sí, me gusta mucho.","Да, мне это очень нравится."
13,13,"No, no tengo tiempo.","Нет, у меня нет времени."
14,14,Voy a llamar a mi amigo.,Я собираюсь позвонить другу.
15,15,Yo soy estudiante de español.,Я студент испанского языка.
16,16,Ella está en casa ahora.,Она сейчас дома.
17,17,Mi nombre es Carlos.,Меня зовут Карлос.
18,18,Su apellido es Gómez.,Его фамилия Гомес.
19,19,Ella es una persona amable.,Она добрый человек.
20,20,La clase empieza a las diez.,Занятие начинается в десять.
21,21,El profesor enseña matemáticas en la escuela.,Преподаватель учит математику в школе.
22,22,Soy estudiante de español en la universidad.,Я студент испанского языка в университете.
23,23,El aula está llena de estudiantes.,Аудитория полна студентов.
24,24,Tengo un libro interesante sobre historia.,У меня есть интересная книга по истории.
25,25,Ella escribe en su cuaderno todos los días.,Она пишет в своей тетради каждый день.
26,26,Necesito un boli para firmar el documento.,"Мне нужна ручка, чтобы подписать документ."
27,27,El lápiz está sobre la mesa.,Карандаш лежит на столе.
28,28,La mesa es de madera y muy grande.,Стол из дерева и очень большой.
29,29,La silla es cómoda para estudiar.,Стул удобен для учебы.
30,30,La pizarra está llena de notas.,Доска полна заметок.
31,31,Yo voy al cine esta noche.,Я иду в кино сегодня вечером.
32,32,Tú hablas español muy bien.,Ты говоришь по-испански очень хорошо.
33,33,Él es mi mejor amigo.,Он мой лучший друг.
34,34,Ella estudia en la biblioteca.,Она учится в библиотеке.
35,35,Nosotros vamos a la playa mañana.,Мы идем на пляж завтра.
36,36,Vosotros tenéis clase a las diez.,Вы (мн.) имеете занятие в десять.
37,37,Ellos juegan fútbol en el parque.,Они играют в футбол в парке.
38,38,Usted es muy amable con todos.,Вы (вежл.) очень любезны со всеми.
39,39,Me gusta el té y el café.,Мне нравится чай и кофе.
40,40,¿Quieres té o café?,Ты хочешь чай или кофе?
41,41,"Quiero ir al cine, pero estoy cansado.","Я хочу пойти в кино, но я устал."
42,42,"Me gusta el café, también me gusta el té.","Мне нравится кофе, тоже нравится чай."
43,43,"No tengo dinero, tampoco tengo tiempo.","У меня нет денег, тоже нет времени."
44,44,Mi nacionalidad es rusa.,Моя национальность русская.
45,45,Rusia es un país grande.,Россия — большая страна.
46,46,Ella es española y vive en Madrid.,Она испанка и живет в Мадриде.
47,47,Él es ruso y habla inglés.,Он русский и говорит по-английски.
48,48,El inglés es un idioma muy importante.,Английский язык очень важен.
49,49,El francés es un idioma hermoso.,Французский язык красивый.
50,50,El alemán es difícil de aprender.,Немецкий язык трудно учить.
51,51,El café italiano es muy bueno.,Итальянский кофе очень хороший.
52,52,El chino es un idioma tonal.,Китайский язык — тональный язык.
53,53,El japonés tiene tres alfabetos.,В японском языке три алфавита.
54,54,El arte mexicano es muy colorido.,Мексиканское искусство очень красочное.
55,55,El tango es un baile argentino.,Танго — аргентинский танец.
56,56,El fútbol brasileño es famoso en el mundo.,Бразильский футбол известен во всем мире.
57,57,Ella es estadounidense y vive en Nueva York.,Она американка и живет в Нью-Йорке.
58,58,España es famosa por su cultura.,Испания известна своей культурой.
59,59,Rusia tiene muchos paisajes hermosos.,В России много красивых пейзажей.
60,60,El español es un idioma muy hablado.,Испанский язык очень распространен.
61,61,Yo quiero hablar con mi amigo.,Я хочу поговорить с моим другом.
62,62,Yo quiero vivir en España.,Я хочу жить в Испании.
63,63,Ella trabaja en una oficina.,Она работает в офисе.
64,64,Nosotros estudiamos español todos los días.,Мы учим испанский каждый день.
65,65,Mi profesión es profesora de matemáticas.,Моя профессия - учитель математики.
66,66,El médico cuida a sus pacientes.,Врач заботится о своих пациентах.
67,67,El enfermero ayuda al médico en el hospital.,Медбрат помогает врачу в больнице.
68,68,Mi hermano es ingeniero de software.,Мой брат - инженер-программист.
69,69,Mi hermano es abogado en la ciudad.,Мой брат адвокат в городе.
70,70,El camarero trae la comida a la mesa.,Официант приносит еду к столу.
71,71,El cocinero prepara una cena deliciosa.,Повар готовит вкусный ужин.
72,72,El periodista escribe para un periódico.,Журналист пишет для газеты.
73,73,El artista pinta cuadros hermosos.,Художник рисует красивые картины.
74,74,El músico toca la guitarra en el parque.,Музыкант играет на гитаре в парке.
75,75,La policia ayuda a las personas.,Полиция помогает людям.
76,76,El taxista me lleva al aeropuerto.,Таксист отвозит меня в аэропорт.
77,77,Mi edad es veinte años.,Мой возраст двадцать лет.
78,78,"Mi número de teléfono es seis, cinco, tres.","Мой номер телефона шесть, пять, три."
79,79,¿Tienes un teléfono móvil nuevo?,У тебя есть новый мобильный телефон?
80,80,Envíame un correo electrónico por favor.,"Отправь мне, пожалуйста, электронное письмо."
81,81,¿Cuál es tu dirección en la ciudad?,Какой у тебя адрес в городе?
82,82,Nosotros tenemos un perro grande.,У нас есть большая собака.
83,83,Hay un parque cerca de mi casa.,Недалеко от моего дома есть парк.
84,84,¿Cuánto cuesta este libro en la tienda?,Сколько стоит эта книга в магазине?
85,85,"¿De dónde eres tú, amigo?","Откуда ты, друг?"
86,86,¿Qué quieres comer hoy en el restaurante?,Что ты хочешь поесть сегодня в ресторане?
87,87,Vivo en una ciudad muy grande y bonita.,Я живу в очень большом и красивом городе.
88,88,El pueblo tiene una plaza muy hermosa.,В посёлке есть очень красивая площадь.
89,89,Mi barrio es tranquilo y tiene muchos árboles.,Мой район спокойный и имеет много деревьев.
