id,word_id,example,translate
1,1,"Hello, how are you today?","Привет, как ты сегодня?"
2,2,Hi! It's nice to see you.,Привет! Рад тебя видеть.
3,3,Goodbye! Have a great day!,До свидания! Хорошего дня!
4,4,Bye! See you tomorrow!,Пока! Увидимся завтра!
5,5,"Can you help me, please?","Можешь помочь мне, пожалуйста?"
6,6,Thank you for your help!,Спасибо за твою помощь!
7,7,Thanks for the ride!,Спасибо за поездку!
8,8,"Yes, I agree with you.","Да, я согласен с тобой."
9,9,There is no milk in the fridge.,В холодильнике нет молока.
10,10,I am sorry for being late.,Извините за опоздание.
11,11,"Excuse me, can you help me?","Извините, вы можете мне помочь?"
12,12,What is your name?,Как вас зовут?
13,13,My phone number is on the table.,Мой номер телефона на столе.
14,14,The answer is zero.,Ответ ноль.
15,15,I have one apple.,У меня есть одно яблоко.
16,16,She has two dogs.,У неё есть две собаки.
17,17,There are three chairs in the room.,В комнате три стула.
18,18,I see four birds in the tree.,Я вижу четыре птицы на дереве.
19,19,He bought five books yesterday.,Он купил пять книг вчера.
20,20,I need six eggs for the recipe.,Мне нужно шесть яиц для рецепта.
21,21,We will meet at seven o'clock.,Мы встретимся в семь часов.
22,22,She is eight years old.,Ей восемь лет.
23,23,There are nine students in the class.,В классе девять учеников.
24,24,I can count to ten.,Я могу считать до десяти.
25,25,Today is a sunny day.,Сегодня солнечный день.
26,26,I work five days a week.,Я работаю пять дней в неделю.
27,27,Monday is the first day of the week.,Понедельник - первый день недели.
28,28,Tuesday comes after Monday.,Вторник идет после понедельника.
29,29,I have a meeting on Wednesday.,У меня встреча в среду.
30,30,Thursday is my favorite day of the week.,Четверг - мой любимый день недели.
31,31,We go out for dinner on Friday.,Мы выходим поужинать в пятницу.
32,32,Saturday is perfect for relaxing at home.,Суббота идеально подходит для отдыха дома.
33,33,I visit my family every Sunday.,Я навещаю свою семью каждое воскресенье.
34,34,My country is beautiful and full of history.,Моя страна красивая и полна истории.
35,35,England has many famous landmarks.,В Англии много известных достопримечательностей.
36,36,The USA is a large and diverse country.,США - большая и разнообразная страна.
37,37,Spain is known for its delicious food.,Испания известна своей вкусной едой.
38,38,France is famous for its art and culture.,Франция известна своим искусством и культурой.
39,39,Germany has a rich history and many castles.,В Германии богатая история и много замков.
40,40,Italy is home to many beautiful cities.,Италия - родина многих красивых городов.
41,41,Russia is the largest country in the world.,Россия - самая большая страна в мире.
42,42,China has a long and fascinating history.,У Китая долгая и увлекательная история.
43,43,Japan is known for its technology and traditions.,Япония известна своей технологией и традициями.
44,44,Brazil is famous for its carnival and football.,Бразилия известна своим карнавальным шествием и футболом.
45,45,Mexico has beautiful beaches and rich culture.,В Мексике красивые пляжи и богатая культура.
46,46,Turkey is a bridge between Europe and Asia.,Турция - это мост между Европой и Азией.
47,47,I want to be happy every day.,Я хочу быть счастливым каждый день.
48,48,I like to read books in my free time.,Мне нравится читать книги в свободное время.
49,49,You are my best friend.,Ты мой лучший друг.
50,50,He likes to play football.,Он любит играть в футбол.
51,51,She is a great teacher.,Она отличный учитель.
52,52,It is a sunny day.,Сегодня солнечный день.
53,53,I like apples and oranges.,Мне нравятся яблоки и апельсины.
54,54,I come from Russia.,Я из России.
55,55,What is your name?,Как тебя зовут?
56,56,Where is the nearest bus stop?,Где ближайшая автобусная остановка?
57,57,How do you feel today?,Как ты себя чувствуешь сегодня?
58,58,I drink cappuccino every morning.,Я пью капучино каждое утро.
59,59,He loves coffee with milk.,Он любит кофе с молоком.
60,60,She prefers green tea.,Она предпочитает зелёный чай.
61,61,I need a glass of water.,Мне нужен стакан воды.
62,62,We stayed at a nice hotel.,Мы остановились в хорошем отеле.
63,63,The table is made of wood.,Стол сделан из дерева.
64,64,We are going to the park.,Мы идём в парк.
65,65,They play basketball every weekend.,Они играют в баскетбол каждые выходные.
66,66,What is your nationality?,Какова твоя национальность?
67,67,He is British and lives in London.,Он британец и живёт в Лондоне.
68,68,She is American and speaks English.,Она американка и говорит по-английски.
69,69,I love Spanish food and music.,Мне нравится испанская еда и музыка.
70,70,She speaks French very well.,Она хорошо говорит по-французски.
71,71,He is learning German at school.,Он учит немецкий в школе.
72,72,They enjoy Italian pizza and pasta.,Им нравится итальянская пицца и паста.
73,73,I am studying Russian this year.,Я изучаю русский в этом году.
74,74,She likes Chinese tea and dumplings.,Ей нравится китайский чай и пельмени.
75,75,He watches Japanese movies every weekend.,Он смотрит японские фильмы каждые выходные.
76,76,We are planning a holiday in July.,Мы планируем отпуск в июле.
77,77,The tourist took many photos in the city.,Турист сделал много фотографий в городе.
78,78,Moscow is a big city in Russia.,Москва — большой город в России.
79,79,The bus arrives at five o'clock.,Автобус приходит в пять часов.
80,80,My phone is charging on the table.,Мой телефон заряжается на столе.
81,81,"What is your phone number, please?","Какой у вас номер телефона, пожалуйста?"
82,82,There are eleven students in the classroom.,В классе одиннадцать учеников.
83,83,I have twelve apples in my bag.,У меня в сумке двенадцать яблок.
84,84,Thirteen is my lucky number.,Тринадцать — это мое счастливое число.
85,85,She has twenty books on her shelf.,У нее на полке двадцать книг.
86,86,He is thirty years old this year.,Ему в этом году тридцать лет.
87,87,There are forty students in the school.,В школе сорок учеников.
88,88,I need fifty dollars for the tickets.,Мне нужно пятьдесят долларов за билеты.
89,89,I have a hundred dollars in my wallet.,У меня сто долларов в кошельке.
90,90,Can you ask me a question about the lesson?,Можешь задать мне вопрос о уроке?
91,91,I need to find the answer to this problem.,Мне нужно найти ответ на эту задачу.
92,92,Who is your favorite teacher at school?,Кто твой любимый учитель в школе?
93,93,Why do you like this book so much?,Почему тебе так нравится эта книга?
94,94,When do we have our next class?,Когда у нас следующий урок?
95,95,This is our classroom for English lessons.,Это наш класс для уроков английского.
96,96,Their bags are on the table.,Их сумки на столе.
97,97,My pen is blue and very nice.,Моя ручка синяя и очень хорошая.
98,98,Is this your book or mine?,Это твоя книга или моя?
99,99,His pencil is on the desk.,Его карандаш на столе.
100,100,Her bag is red and big.,Её сумка красная и большая.
101,101,The dog is in its house now.,Собака сейчас в своём доме.
102,102,The classroom is very bright and clean.,Класс очень яркий и чистый.
103,103,My teacher gives us a lot of homework.,Мой учитель даёт нам много домашнего задания.
104,104,The student is reading a book in class.,Студент читает книгу на уроке.
105,105,I need a pen to write this down.,"Мне нужна ручка, чтобы это записать."
106,106,Can I borrow your pencil for a moment?,Могу я одолжить твой карандаш на минуту?
107,107,This book is very interesting to read.,Эта книга очень интересна для чтения.
108,108,She carries her bag to school every day.,Она носит свою сумку в школу каждый день.
109,109,I sit on the chair in the kitchen.,Я сижу на стуле на кухне.
110,110,Please close the door when you leave.,"Пожалуйста, закрой дверь, когда уходишь."
111,111,She opened the window to let in fresh air.,"Она открыла окно, чтобы впустить свежий воздух."
112,112,The teacher wrote on the board with a marker.,Учитель написал на доске маркером.
113,113,I am learning the English alphabet at school.,Я учу английский алфавит в школе.
114,114,I wrote a letter to my friend yesterday.,Я написал письмо своему другу вчера.
115,115,I lost my key and cannot enter the house.,Я потерял ключ и не могу войти в дом.
116,116,He found his wallet on the table.,Он нашел свой бумажник на столе.
117,117,"It is raining, so I need my umbrella.","Идет дождь, поэтому мне нужен мой зонт."
118,118,She bought a new watch for her birthday.,Она купила новые часы на свой день рождения.
119,119,I have a ticket for the concert tonight.,У меня есть билет на концерт сегодня вечером.
120,120,He used a map to find the restaurant.,"Он использовал карту, чтобы найти ресторан."
121,121,I need my passport for the trip abroad.,Мне нужен мой паспорт для поездки за границу.
