id,word_id,example,translate
1,1,İsmin ne?,Как тебя зовут?
2,2,Bahçede büyük bir ağaç var.,В саду есть большое дерево.
3,3,Alkol kullanımı sağlığa zararlıdır.,Употребление алкоголя вредно для здоровья.
4,4,Almanya Avrupa Birliği'nin önemli bir ülkesidir.,Германия — важная страна Европейского Союза.
5,5,Anneler Günü'nde anneme güzel bir hediye aldım.,В День матери я купил(а) своей маме красивый подарок.
6,6,Araba anahtarlarımı kaybettim.,Я потерял(а) ключи от машины.
7,7,En iyi arkadaşımla sinemaya gideceğiz.,Мы пойдем в кино с моим лучшим другом.
8,8,Avukatım davayı kazandı.,Мой адвокат выиграл дело.
9,9,Avusturya Alp Dağları'yla ünlüdür.,Австрия славится Альпами.
10,10,Bu çok az bir miktar.,Это очень маленькое количество.
11,11,Benim babam emekli oldu.,Мой папа вышел на пенсию.
12,12,Bahçede çiçekler ektik.,Мы посадили цветы в саду.
13,13,Bugün balık pişireceğim.,Сегодня я приготовлю рыбу.
14,14,Banka saat dokuzda açılır.,Банк открывается в девять часов.
15,15,Bir bardak su lütfen.,"Стакан воды, пожалуйста."
16,16,Bay Yılmaz bugün gelmedi.,Господин Йылмаз сегодня не пришел.
17,17,Bayan Ayşe sizi bekliyor.,Госпожа Айше вас ждет.
18,18,Bayramda tüm aile toplanır.,На праздник собирается вся семья.
19,19,Bebek bütün gece ağladı.,Ребенок плакал всю ночь.
20,20,"Beyefendi, sıranız geldi.","Господин, ваша очередь."
21,21,İki bilet alabilir miyim?,Можно мне два билета?
22,22,Bilgisayarım çok yavaşladı.,Мой компьютер стал очень медленным.
23,23,Bulaşık makinesini boşalt.,Разгрузи посудомоечную машину.
24,24,Büroda toplantı var.,В офисе собрание.
25,25,Bu büyük bir başarı.,Это большой успех.
26,26,Camiye giderken sessiz olalım.,"Будем тихими, когда идем в мечеть."
27,27,Cetvelle bir çizgi çiz.,Начерти линию линейкой.
28,28,Ceviz alerjim var.,У меня аллергия на грецкий орех.
29,29,Çamaşırları asmam lazım.,Мне нужно развесить белье.
30,30,Çantam çok ağır.,Моя сумка очень тяжелая.
31,31,Çarşıdan meyve sebze alacağım.,Я куплю фрукты и овощи на базаре.
32,32,Bir çay daha alabilir miyim?,Можно мне еще один чай?
33,33,Çiçekleri her gün suluyorum.,Я поливаю цветы каждый день.
34,34,Çin dünyanın en kalabalık ülkesi.,Китай — самая населенная страна мира.
35,35,Çocuk parkta oynuyor.,Ребенок играет в парке.
36,36,Bugün çok yoruldum.,Сегодня я очень устал(а).
37,37,Defterine not al.,Запиши в свою тетрадь.
38,38,Deniz bugün çok soğuk.,Море сегодня очень холодное.
39,39,Matematik dersim var.,У меня урок математики.
40,40,Doğum günümü unuttun mu?,Ты забыл(а) мой день рождения?
41,41,Doktor randevusu aldım.,Я записалась на прием к врачу.
42,42,Dolabı düzenledim.,Я привела в порядок шкаф.
43,43,Düğünleri gelecek ay.,Их свадьба в следующем месяце.
44,44,Eczane köşede.,Аптека на углу.
45,45,Taze ekmek aldım.,Я купил(а) свежий хлеб.
46,46,Bu elbise sana çok yakıştı.,Это платье тебе очень идет.
47,47,Bir kilo elma aldım.,Я купил(а) килограмм яблок.
48,48,Erkek kardeşim üniversitede okuyor.,Мой брат учится в университете.
49,49,Evimiz şehir merkezine yakın.,Наш дом близко к центру города.
50,50,Fare bilgisayarın yanında.,Мышь рядом с компьютером.
51,51,Fındık üretiminde lideriz.,Мы лидеры по производству фундука.
52,52,Diş fırçamı değiştirmeliyim.,Мне нужно сменить зубную щетку.
53,53,Bu filmi daha önce izlemedim.,Я не смотрел(а) этот фильм раньше.
54,54,Fransa moda başkenti sayılır.,Франция считается столицей моды.
55,55,Ünlü bir futbolcuyla tanıştım.,Я познакомился(ась) с известным футболистом.
56,56,"Garson, hesap lütfen.","Официант, счет, пожалуйста."
57,57,Gözüme bir şey kaçtı.,Мне что-то попало в глаз.
58,58,Bahçemizde güller açtı.,В нашем саду расцвели розы.
59,59,Çok güzel bir resim çizmişsin.,Ты нарисовал(а) очень красивую картину.
60,60,Onun bu hâline çok üzüldüm.,Я очень расстроился(ась) из-за его/ее такого состояния.
61,61,Yeni bir halı aldık.,Мы купили новый ковер.
62,62,"Hanımefendi, şemsiyenizi unuttunuz.","Мадам, вы забыли свой зонт."
63,63,Hastalığı nedeniyle okula gelemedi.,Он/она не смог(ла) прийти в школу из-за болезни.
64,64,Havuç doğramama yardım et.,Помоги мне нарезать морковь.
65,65,Bu benim çocukluk hayalimdi.,Это была моя детская мечта.
66,66,Hemşireler çok özverili çalışıyor.,Медсестры работают очень самоотверженно.
67,67,Hiç böyle bir şey görmedim.,Я никогда не видел(а) ничего подобного.
