id,Слово,Перевод,Тип,Курс,Урок
1,hola,привет,KALIP İFADELER,A1,UNIDAD1
2,buenos días,доброе утро,KALIP İFADELER,A1,UNIDAD1
3,buenas tardes,добрый день,KALIP İFADELER,A1,UNIDAD1
4,buenas noches,добрый вечер / спокойной ночи,KALIP İFADELER,A1,UNIDAD1
5,adiós,до свидания,KALIP İFADELER,A1,UNIDAD1
6,hasta luego,до скорого,KALIP İFADELER,A1,UNIDAD1
7,por favor,пожалуйста,KALIP İFADELER,A1,UNIDAD1
8,gracias,спасибо,KALIP İFADELER,A1,UNIDAD1
9,de nada,не за что,KALIP İFADELER,A1,UNIDAD1
10,perdón,простите,KALIP İFADELER,A1,UNIDAD1
11,lo siento,мне жаль,KALIP İFADELER,A1,UNIDAD1
12,sí,да,DİĞER KELİMELER,A1,UNIDAD1
13,no,нет,DİĞER KELİMELER,A1,UNIDAD1
14,llamar,"звать, звонить",FİİLLER,A1,UNIDAD1
15,ser,быть,FİİLLER,A1,UNIDAD1
16,estar,"находиться, быть (состояние)",FİİLLER,A1,UNIDAD1
17,nombre,имя,İSİMLER,A1,UNIDAD1
18,apellido,фамилия,İSİMLER,A1,UNIDAD1
19,persona,человек,İSİMLER,A1,UNIDAD1
20,clase,"занятие, класс",İSİMLER,A1,UNIDAD1
21,profesor,преподаватель,İSİMLER,A1,UNIDAD1
22,estudiante,студент,İSİMLER,A1,UNIDAD1
23,aula,аудитория,İSİMLER,A1,UNIDAD1
24,libro,книга,İSİMLER,A1,UNIDAD1
25,cuaderno,тетрадь,İSİMLER,A1,UNIDAD1
26,boli,ручка,İSİMLER,A1,UNIDAD1
27,lápiz,карандаш,İSİMLER,A1,UNIDAD1
28,mesa,стол,İSİMLER,A1,UNIDAD1
29,silla,стул,İSİMLER,A1,UNIDAD1
30,pizarra,доска,İSİMLER,A1,UNIDAD1
31,yo,я,ZAMİRLER,A1,UNIDAD1
32,tú,ты,ZAMİRLER,A1,UNIDAD1
33,él,он,ZAMİRLER,A1,UNIDAD1
34,ella,она,ZAMİRLER,A1,UNIDAD1
35,nosotros,мы,ZAMİRLER,A1,UNIDAD1
36,vosotros,вы (мн.),ZAMİRLER,A1,UNIDAD1
37,ellos,они,ZAMİRLER,A1,UNIDAD1
38,usted,вы (вежл.),ZAMİRLER,A1,UNIDAD1
39,y,и,EDATLAR / BAĞLAÇLAR,A1,UNIDAD1
40,o,или,EDATLAR / BAĞLAÇLAR,A1,UNIDAD1
41,pero,но,EDATLAR / BAĞLAÇLAR,A1,UNIDAD1
42,también,тоже,ZARFLAR,A1,UNIDAD1
43,tampoco,тоже не,ZARFLAR,A1,UNIDAD1
44,nacionalidad,национальность,İSİMLER,A1,UNIDAD2
45,país,страна,İSİMLER,A1,UNIDAD2
46,español,"испанец, испанский",SIFATLAR,A1,UNIDAD2
47,ruso,русский,SIFATLAR,A1,UNIDAD2
48,inglés,"англичанин, английский",SIFATLAR,A1,UNIDAD2
49,francés,французский,SIFATLAR,A1,UNIDAD2
50,alemán,немецкий,SIFATLAR,A1,UNIDAD2
51,italiano,итальянский,SIFATLAR,A1,UNIDAD2
52,chino,китайский,SIFATLAR,A1,UNIDAD2
53,japonés,японский,SIFATLAR,A1,UNIDAD2
54,mexicano,мексиканский,SIFATLAR,A1,UNIDAD2
55,argentino,аргентинский,SIFATLAR,A1,UNIDAD2
56,brasileño,бразильский,SIFATLAR,A1,UNIDAD2
57,estadounidense,американский,SIFATLAR,A1,UNIDAD2
58,España,Испания,İSİMLER,A1,UNIDAD2
59,Rusia,Россия,İSİMLER,A1,UNIDAD2
60,idioma,язык,İSİMLER,A1,UNIDAD2
61,hablar,говорить,FİİLLER,A1,UNIDAD2
62,vivir,жить,FİİLLER,A1,UNIDAD2
63,trabajar,работать,FİİLLER,A1,UNIDAD2
64,estudiar,учиться,FİİLLER,A1,UNIDAD2
65,profesión,профессия,İSİMLER,A1,UNIDAD2
66,médico,врач,İSİMLER,A1,UNIDAD2
67,enfermero,медбрат/сестра,İSİMLER,A1,UNIDAD2
68,ingeniero,инженер,İSİMLER,A1,UNIDAD2
69,abogado,адвокат,İSİMLER,A1,UNIDAD2
70,camarero,официант,İSİMLER,A1,UNIDAD2
71,cocinero,повар,İSİMLER,A1,UNIDAD2
72,periodista,журналист,İSİMLER,A1,UNIDAD2
73,artista,художник,İSİMLER,A1,UNIDAD2
74,músico,музыкант,İSİMLER,A1,UNIDAD2
75,policia,полицейский,İSİMLER,A1,UNIDAD2
76,taxista,таксист,İSİMLER,A1,UNIDAD2
77,edad,возраст,İSİMLER,A1,UNIDAD2
78,número,"число, номер",İSİMLER,A1,UNIDAD2
79,teléfono,телефон,İSİMLER,A1,UNIDAD2
80,correo electrónico,эл. почта,İSİMLER,A1,UNIDAD2
81,dirección,адрес,İSİMLER,A1,UNIDAD2
82,tener,иметь,FİİLLER,A1,UNIDAD2
83,hay,"есть, имеется",DİĞER KELİMELER,A1,UNIDAD2
84,cuánto,сколько,ZAMİRLER,A1,UNIDAD2
85,de dónde,откуда,KALIP İFADELER,A1,UNIDAD2
86,qué,"что, какой",ZAMİRLER,A1,UNIDAD2
87,ciudad,город,İSİMLER,A1,UNIDAD3
88,pueblo,посёлок,İSİMLER,A1,UNIDAD3
89,barrio,район,İSİMLER,A1,UNIDAD3
90,calle,улица,İSİMLER,A1,UNIDAD3
91,plaza,площадь,İSİMLER,A1,UNIDAD3
92,parque,парк,İSİMLER,A1,UNIDAD3
93,museo,музей,İSİMLER,A1,UNIDAD3
94,teatro,театр,İSİMLER,A1,UNIDAD3
95,cine,кинотеатр,İSİMLER,A1,UNIDAD3
96,restaurante,ресторан,İSİMLER,A1,UNIDAD3
97,bar,бар,İSİMLER,A1,UNIDAD3
98,café,кафе,İSİMLER,A1,UNIDAD3
99,tienda,магазин,İSİMLER,A1,UNIDAD3
100,supermercado,супермаркет,İSİMLER,A1,UNIDAD3
101,farmacia,аптека,İSİMLER,A1,UNIDAD3
102,hospital,больница,İSİMLER,A1,UNIDAD3
103,banco,банк,İSİMLER,A1,UNIDAD3
104,correo,почта,İSİMLER,A1,UNIDAD3
105,estación,вокзал,İSİMLER,A1,UNIDAD3
106,aeropuerto,аэропорт,İSİMLER,A1,UNIDAD3
107,hotel,отель,İSİMLER,A1,UNIDAD3
108,iglesia,церковь,İSİMLER,A1,UNIDAD3
109,escuela,школа,İSİMLER,A1,UNIDAD3
110,universidad,университет,İSİMLER,A1,UNIDAD3
111,biblioteca,библиотека,İSİMLER,A1,UNIDAD3
112,gimnasio,спортзал,İSİMLER,A1,UNIDAD3
113,playa,пляж,İSİMLER,A1,UNIDAD3
114,mar,море,İSİMLER,A1,UNIDAD3
115,río,река,İSİMLER,A1,UNIDAD3
116,montaña,гора,İSİMLER,A1,UNIDAD3
117,norte,север,İSİMLER,A1,UNIDAD3
118,sur,юг,İSİMLER,A1,UNIDAD3
119,este,восток,İSİMLER,A1,UNIDAD3
120,oeste,запад,İSİMLER,A1,UNIDAD3
121,cerca,близко,ZARFLAR,A1,UNIDAD3
122,lejos,далеко,ZARFLAR,A1,UNIDAD3
123,aquí,здесь,ZARFLAR,A1,UNIDAD3
124,allí,там,ZARFLAR,A1,UNIDAD3
125,a la derecha,справа,KALIP İFADELER,A1,UNIDAD3
126,a la izquierda,слева,KALIP İFADELER,A1,UNIDAD3
127,ir,"идти, ехать",FİİLLER,A1,UNIDAD3
128,grande,большой,SIFATLAR,A1,UNIDAD3
129,pequeño,маленький,SIFATLAR,A1,UNIDAD3
130,bonito,красивый,SIFATLAR,A1,UNIDAD3
131,feo,некрасивый,SIFATLAR,A1,UNIDAD3
132,gustar,нравиться,FİİLLER,A1,UNIDAD4
133,encantar,обожать,FİİLLER,A1,UNIDAD4
134,interesar,интересовать,FİİLLER,A1,UNIDAD4
135,odiar,ненавидеть,FİİLLER,A1,UNIDAD4
136,preferir,предпочитать,FİİLLER,A1,UNIDAD4
137,música,музыка,İSİMLER,A1,UNIDAD4
138,deporte,спорт,İSİMLER,A1,UNIDAD4
139,lectura,чтение,İSİMLER,A1,UNIDAD4
140,viaje,путешествие,İSİMLER,A1,UNIDAD4
141,fotografía,фотография,İSİMLER,A1,UNIDAD4
142,baile,танцы,İSİMLER,A1,UNIDAD4
143,cocina,"кухня, готовка",İSİMLER,A1,UNIDAD4
144,fútbol,футбол,İSİMLER,A1,UNIDAD4
145,tenis,теннис,İSİMLER,A1,UNIDAD4
146,natación,плавание,İSİMLER,A1,UNIDAD4
147,correr,бегать,FİİLLER,A1,UNIDAD4
148,nadar,плавать,FİİLLER,A1,UNIDAD4
149,bailar,танцевать,FİİLLER,A1,UNIDAD4
150,cantar,петь,FİİLLER,A1,UNIDAD4
151,leer,читать,FİİLLER,A1,UNIDAD4
152,escuchar,слушать,FİİLLER,A1,UNIDAD4
153,ver,"видеть, смотреть",FİİLLER,A1,UNIDAD4
154,viajar,путешествовать,FİİLLER,A1,UNIDAD4
155,cocinar,готовить,FİİLLER,A1,UNIDAD4
156,pintar,рисовать,FİİLLER,A1,UNIDAD4
157,dibujar,рисовать карандашом,FİİLLER,A1,UNIDAD4
158,jugar,играть,FİİLLER,A1,UNIDAD4
159,coleccionar,коллекционировать,FİİLLER,A1,UNIDAD4
160,tiempo libre,свободное время,İSİMLER,A1,UNIDAD4
161,afición,увлечение,İSİMLER,A1,UNIDAD4
162,mucho,много,ZARFLAR,A1,UNIDAD4
163,poco,мало,ZARFLAR,A1,UNIDAD4
164,nada,ничего,ZAMİRLER,A1,UNIDAD4
165,algo,что-то,ZAMİRLER,A1,UNIDAD4
166,más que,больше чем,EDATLAR / BAĞLAÇLAR,A1,UNIDAD4
167,menos que,меньше чем,EDATLAR / BAĞLAÇLAR,A1,UNIDAD4
168,familia,семья,İSİMLER,A1,UNIDAD5
169,madre,мать,İSİMLER,A1,UNIDAD5
170,padre,отец,İSİMLER,A1,UNIDAD5
171,hijo,сын,İSİMLER,A1,UNIDAD5
172,hija,дочь,İSİMLER,A1,UNIDAD5
173,hermano,брат,İSİMLER,A1,UNIDAD5
174,hermana,сестра,İSİMLER,A1,UNIDAD5
175,abuelo,дедушка,İSİMLER,A1,UNIDAD5
176,abuela,бабушка,İSİMLER,A1,UNIDAD5
177,tío,дядя,İSİMLER,A1,UNIDAD5
178,tía,тётя,İSİMLER,A1,UNIDAD5
179,primo,двоюродный брат,İSİMLER,A1,UNIDAD5
180,prima,двоюродная сестра,İSİMLER,A1,UNIDAD5
181,marido,муж,İSİMLER,A1,UNIDAD5
182,mujer,"жена, женщина",İSİMLER,A1,UNIDAD5
183,novio,парень,İSİMLER,A1,UNIDAD5
184,novia,девушка,İSİMLER,A1,UNIDAD5
185,amigo,друг,İSİMLER,A1,UNIDAD5
186,amiga,подруга,İSİMLER,A1,UNIDAD5
187,mascota,питомец,İSİMLER,A1,UNIDAD5
188,levantarse,вставать,FİİLLER,A1,UNIDAD5
189,acostarse,ложиться спать,FİİLLER,A1,UNIDAD5
190,despertarse,просыпаться,FİİLLER,A1,UNIDAD5
191,ducharse,принимать душ,FİİLLER,A1,UNIDAD5
192,vestirse,одеваться,FİİLLER,A1,UNIDAD5
193,desayunar,завтракать,FİİLLER,A1,UNIDAD5
194,almorzar,обедать,FİİLLER,A1,UNIDAD5
195,cenar,ужинать,FİİLLER,A1,UNIDAD5
196,volver,возвращаться,FİİLLER,A1,UNIDAD5
197,dormir,спать,FİİLLER,A1,UNIDAD5
198,lunes,понедельник,İSİMLER,A1,UNIDAD5
199,martes,вторник,İSİMLER,A1,UNIDAD5
200,miércoles,среда,İSİMLER,A1,UNIDAD5
201,jueves,четверг,İSİMLER,A1,UNIDAD5
202,viernes,пятница,İSİMLER,A1,UNIDAD5
203,sábado,суббота,İSİMLER,A1,UNIDAD5
